start_s,end_s,center_s,raw_mean_cm,raw_median_cm,raw_std_cm,raw_n,right_mean_cm,right_median_cm,right_std_cm,right_n,left_mean_cm,left_median_cm,left_std_cm,left_n,right_energy,left_energy,left_over_right_energy,right_fft_coarse_lambda_cm
6.0,7.8,6.9,20.623211694629095,20.511761520242814,1.8164531746900543,48,20.27599239159831,20.21068225416921,0.8196403165539524,54,18.697901398073007,18.106318037402975,2.3502052739325165,54,443426396.94368005,87238950.68628615,0.19673828912212107,23.038022807480097
6.6,8.4,7.5,21.030590647663317,21.11876685865925,2.271963702663405,53,19.81006744622985,19.79205222772127,0.7015072057578136,54,18.467736197986625,17.88046448735394,2.477077651762826,54,808459026.7716833,107617596.55254367,0.13311447208682836,23.038022807480097
7.2,9.0,8.1,20.366755418821224,20.303494067689662,1.81930505696596,52,19.960059717224524,19.871233266893242,0.7971737045837498,54,19.043846937958,18.230257222202887,3.0012481475659327,54,960612021.7075684,71830312.65631369,0.07477557123283683,23.038022807480097
7.8,9.6,8.7,21.10077258478759,21.387704694143757,1.8632602401902925,52,20.37726313041187,20.327336638093218,0.9954678512201994,54,19.812726837195893,18.696132696091123,3.44396445158796,54,1004857160.640801,80498471.98087017,0.08010936791208814,23.038022807480097
8.4,10.2,9.3,21.388275363441387,21.521985290371674,1.145916006224738,53,20.96021024848358,21.12367463209345,0.8458575944118132,54,20.96216503414188,20.58363062028321,3.2381080861494476,54,1014228580.5646987,100199936.9703365,0.09879423523496796,23.038022807480097
9.0,10.8,9.9,21.816578197499975,21.940125933813004,0.7651016311752424,54,21.109683035445535,21.1703640788185,0.7228057937409893,54,20.781806867707665,20.272153833344365,3.1601289253074913,54,1077275276.0310087,80911296.5579679,0.07510735497065182,23.038022807480097
9.6,11.4,10.5,21.636325764442816,21.475738490856827,0.537741190420046,54,20.81943242833257,21.052836311143995,0.8517119885794063,54,21.288880814261507,20.272153833344365,3.466058460089674,54,1323884738.0805166,111015401.95454702,0.08385579103775062,23.038022807480097
10.2,12.0,11.1,21.259803356302864,21.181623799017792,0.6228324595468595,54,20.33914481669918,20.38206851449286,0.8484210577707885,54,21.551060125218957,20.949377446906116,3.944806644102069,54,1775639686.4720268,131476132.44591498,0.07404437592130055,23.038022807480097
10.8,12.6,11.7,20.959828465753148,20.981133880901957,0.6634386616431555,54,20.24322916046172,20.205950103042372,0.8944978600999575,54,22.214330627449396,23.157538305877047,4.016423490105925,54,2081698199.5822,98025122.31703399,0.047089017196012266,23.038022807480097
11.4,13.2,12.3,20.994279584186252,20.818616106044434,1.1090836334216236,54,20.79107250269997,20.739007148732156,1.1432721036057416,54,21.510592788603635,21.039263612477036,3.992094885749641,54,2083735074.072923,115000475.00421657,0.05518958548767605,23.038022807480097
