method,frame,time_s,s1_cm,s2_cm,distance_cm,n_peaks,row_std_px
incident_direction_filtered,413,13.766666666666667,7.300000000000001,27.8,20.5,2,3.16417258346133
incident_direction_filtered,414,13.8,7.45,28.05,20.6,2,3.2024246140846553
incident_direction_filtered,415,13.833333333333334,7.6000000000000005,28.25,20.65,2,3.2412586947301354
incident_direction_filtered,416,13.866666666666667,7.75,28.450000000000003,20.700000000000003,2,3.2805925540073075
incident_direction_filtered,417,13.9,7.9,28.650000000000002,20.75,2,3.3203554441523147
incident_direction_filtered,418,13.933333333333334,8.1,28.85,20.75,2,3.360487270459974
incident_direction_filtered,419,13.966666666666667,8.25,29.0,20.75,2,3.4009354185019647
incident_direction_filtered,420,14.0,8.4,29.200000000000003,20.800000000000004,2,3.441649643339723
incident_direction_filtered,421,14.033333333333333,8.6,29.400000000000002,20.800000000000004,2,3.4825755847225515
incident_direction_filtered,422,14.066666666666666,8.75,29.6,20.85,2,3.5236475943847507
incident_direction_filtered,423,14.1,8.9,29.75,20.85,2,3.5647816027123462
incident_direction_filtered,424,14.133333333333333,9.1,29.950000000000003,20.85,2,3.6058687203053252
incident_direction_filtered,425,14.166666666666666,9.25,30.150000000000002,20.900000000000002,2,3.6467701814526152
incident_direction_filtered,426,14.2,9.450000000000001,30.35,20.9,2,3.687314111172241
incident_direction_filtered,427,14.233333333333333,9.600000000000001,30.55,20.95,2,3.727294454550094
incident_direction_filtered,428,14.266666666666667,9.8,30.700000000000003,20.900000000000002,2,3.7664722618331123
incident_direction_filtered,429,14.3,9.950000000000001,30.900000000000002,20.950000000000003,2,3.804579384294554
incident_direction_filtered,430,14.333333333333334,10.15,31.150000000000002,21.0,2,3.8413245075079123
incident_direction_filtered,431,14.366666666666667,10.3,31.35,21.05,2,3.876401329275515
incident_direction_filtered,432,14.4,10.5,31.55,21.05,2,3.9094985764087493
incident_direction_filtered,433,14.433333333333334,10.700000000000001,31.75,21.049999999999997,2,3.940311446424582
incident_direction_filtered,434,14.466666666666667,10.850000000000001,32.0,21.15,2,3.968553958881356
incident_direction_filtered,435,14.5,11.05,32.2,21.150000000000002,2,3.9939716124941333
incident_direction_filtered,436,14.533333333333333,11.25,32.45,21.200000000000003,2,4.016353677793883
incident_direction_filtered,437,14.566666666666666,11.4,32.65,21.25,2,4.0355444220809416
incident_direction_filtered,438,14.6,11.600000000000001,32.9,21.299999999999997,2,4.051452574216501
incident_direction_filtered,439,14.633333333333333,11.8,33.15,21.349999999999998,2,4.0640583986619685
incident_direction_filtered,440,14.666666666666666,12.0,33.4,21.4,2,4.07341786320275
incident_direction_filtered,441,14.7,12.15,33.65,21.5,2,4.079663548722469
incident_direction_filtered,442,14.733333333333333,12.350000000000001,33.9,21.549999999999997,2,4.083002151453231
incident_direction_filtered,443,14.766666666666667,12.55,34.15,21.599999999999998,2,4.083708651866922
incident_direction_filtered,444,14.8,12.75,34.4,21.65,2,4.082117449392077
incident_direction_filtered,445,14.833333333333334,12.950000000000001,34.65,21.699999999999996,2,4.078610966516619
incident_direction_filtered,446,14.866666666666667,13.15,34.9,21.75,2,4.07360638896646
incident_direction_filtered,447,14.9,13.350000000000001,35.15,21.799999999999997,2,4.06754131416532
incident_direction_filtered,448,14.933333333333334,13.55,35.45,21.900000000000002,2,4.06085911848206
incident_direction_filtered,449,14.966666666666667,13.75,35.7,21.950000000000003,2,4.053994823685546
incident_direction_filtered,450,15.0,13.950000000000001,35.95,22.0,2,4.04736215213764
incident_direction_filtered,451,15.033333333333333,14.15,36.25,22.1,2,4.041342323631414
incident_direction_filtered,452,15.066666666666666,14.350000000000001,36.5,22.15,2,4.03627498417527
incident_direction_filtered,453,15.1,14.55,36.800000000000004,22.250000000000004,2,4.032451489031037
incident_direction_filtered,454,15.133333333333333,14.75,37.050000000000004,22.300000000000004,2,4.030110606386762
incident_direction_filtered,455,15.166666666666666,14.950000000000001,37.300000000000004,22.35,2,4.029436575398035
incident_direction_filtered,456,15.2,15.15,37.6,22.450000000000003,2,4.030559346651794
incident_direction_filtered,457,15.233333333333333,15.350000000000001,37.85,22.5,2,4.033556751468667
incident_direction_filtered,458,15.266666666666667,15.55,38.1,22.55,2,4.038458282184536
incident_direction_filtered,459,15.3,15.8,38.35,22.55,2,4.045250112083106
incident_direction_filtered,460,15.333333333333334,16.0,38.650000000000006,22.650000000000006,2,4.053880938169763
incident_direction_filtered,461,15.366666666666667,16.2,38.900000000000006,22.700000000000006,2,4.06426819552396
incident_direction_filtered,462,15.4,16.400000000000002,39.150000000000006,22.750000000000004,2,4.076304177313321
incident_direction_filtered,463,15.433333333333334,16.650000000000002,39.400000000000006,22.750000000000004,2,4.089861611769581
incident_direction_filtered,464,15.466666666666667,16.85,39.650000000000006,22.800000000000004,2,4.104798307829551
incident_direction_filtered,465,15.5,17.05,39.900000000000006,22.850000000000005,2,4.120960590768106
incident_direction_filtered,466,15.533333333333333,17.25,40.150000000000006,22.900000000000006,2,4.138185405068036
incident_direction_filtered,467,15.566666666666666,17.5,40.400000000000006,22.900000000000006,2,4.15630115035829
incident_direction_filtered,468,15.6,17.7,40.650000000000006,22.950000000000006,2,4.175127514015301
incident_direction_filtered,469,15.633333333333333,17.900000000000002,40.900000000000006,23.000000000000004,2,4.194474741017612
incident_direction_filtered,470,15.666666666666666,18.150000000000002,41.1,22.95,2,4.214142906871397
incident_direction_filtered,471,15.7,18.35,41.35,23.0,2,4.233921807097243
incident_direction_filtered,472,15.733333333333333,18.6,41.6,23.0,2,4.253592032060107
incident_direction_filtered,473,15.766666666666667,18.8,41.85,23.05,2,4.2729276588151155
incident_direction_filtered,474,15.8,19.0,42.050000000000004,23.050000000000004,2,4.291700777855683
incident_direction_filtered,503,16.766666666666666,2.5500000000000003,24.900000000000002,22.35,2,4.426977562922967
incident_direction_filtered,504,16.8,2.75,25.1,22.35,2,4.422492970196666
