method,frame,time_s,lambda_cm,amp_std_px
incident phase-gradient,133,4.433333333333334,26.205149784775145,0.17264439310608234
incident phase-gradient,134,4.466666666666667,26.43862439616929,0.16446852783292107
incident phase-gradient,135,4.5,26.69460186460142,0.15625598231282162
incident phase-gradient,145,4.833333333333333,14.607095852877858,0.15178936300896392
incident phase-gradient,146,4.866666666666666,14.611350571524731,0.1583796168092265
incident phase-gradient,147,4.9,14.622720355398922,0.16468859017903303
incident phase-gradient,148,4.933333333333334,14.638514755423596,0.17029675231716485
incident phase-gradient,149,4.966666666666667,14.655467633725802,0.17485849694443178
incident phase-gradient,150,5.0,14.673904535327658,0.1781113121191241
incident phase-gradient,151,5.033333333333333,14.696336735486323,0.17988080155500719
incident phase-gradient,152,5.066666666666666,27.199825694983534,0.18008203407095558
incident phase-gradient,153,5.1,27.417667481503997,0.1787172020990132
incident phase-gradient,154,5.133333333333334,27.722971422082683,0.17586957801000594
incident phase-gradient,155,5.166666666666667,28.1035038332389,0.17169403921797752
incident phase-gradient,156,5.2,28.541988902943697,0.16640481699953624
incident phase-gradient,157,5.233333333333333,28.921292847558593,0.1602614822923138
incident phase-gradient,158,5.266666666666667,29.34117746823614,0.15355440169888554
incident phase-gradient,194,6.466666666666667,20.288522097953255,0.15207429671524303
incident phase-gradient,195,6.5,20.774922451275774,0.16381195060209555
incident phase-gradient,196,6.533333333333333,21.278404169976245,0.1745910999130055
incident phase-gradient,197,6.566666666666666,21.815857864130017,0.18403973493390174
incident phase-gradient,198,6.6,22.862477874344417,0.19184009177536196
incident phase-gradient,199,6.633333333333334,23.558467656624273,0.19773948383511158
incident phase-gradient,200,6.666666666666667,24.031825579896015,0.2015595312551884
incident phase-gradient,201,6.7,24.44308411947404,0.20320223282416539
incident phase-gradient,202,6.733333333333333,24.836014857060192,0.20265185429178142
incident phase-gradient,203,6.766666666666667,25.24605799462225,0.19997217348859792
incident phase-gradient,204,6.8,25.670910882092365,0.19529920986333715
incident phase-gradient,205,6.833333333333333,26.155225661405595,0.18883016930982638
incident phase-gradient,206,6.866666666666666,26.61054700113112,0.18080994535675854
incident phase-gradient,207,6.9,27.07252022766341,0.17151711093200905
incident phase-gradient,208,6.933333333333334,27.548515826717455,0.16125186224809504
incident phase-gradient,209,6.966666666666667,27.8478977593003,0.15032875283518632
incident phase-gradient,227,7.566666666666666,24.98896034522493,0.1508794817437283
incident phase-gradient,228,7.6,25.132723932640467,0.1527040311285799
