method,frame,time_s,s1_cm,s2_cm,distance_cm,n_peaks,row_std_px
reflected_direction_filtered,340,11.333333333333334,7.050000000000001,37.9,30.849999999999998,2,0.5609405459613606
reflected_direction_filtered,341,11.366666666666667,6.95,37.75,30.8,2,0.5465600181623974
reflected_direction_filtered,342,11.4,6.8500000000000005,37.65,30.799999999999997,2,0.5313707600847767
reflected_direction_filtered,343,11.433333333333334,6.75,37.5,30.75,2,0.515718708479308
reflected_direction_filtered,344,11.466666666666667,6.65,37.4,30.75,2,0.4999713009078396
reflected_direction_filtered,345,11.5,6.550000000000001,37.300000000000004,30.750000000000004,2,0.4845083866367438
reflected_direction_filtered,346,11.533333333333333,6.5,37.15,30.65,2,0.46971224365471403
reflected_direction_filtered,347,11.566666666666666,6.45,37.050000000000004,30.600000000000005,2,0.4559562508138992
reflected_direction_filtered,348,11.6,6.4,36.95,30.550000000000004,2,0.4435917204385497
reflected_direction_filtered,349,11.633333333333333,6.4,36.85,30.450000000000003,2,0.43293265014723403
reflected_direction_filtered,350,11.666666666666666,6.3500000000000005,36.75,30.4,2,0.4242387936448945
reflected_direction_filtered,351,11.7,6.3500000000000005,36.65,30.299999999999997,2,0.4176984217119281
reflected_direction_filtered,352,11.733333333333333,6.3500000000000005,36.6,30.25,2,0.41341315918679244
reflected_direction_filtered,353,11.766666666666667,6.3500000000000005,36.5,30.15,2,0.4113878588850926
reflected_direction_filtered,354,11.8,6.3500000000000005,36.5,30.15,2,0.4115281530684562
reflected_direction_filtered,355,11.833333333333334,6.3500000000000005,36.45,30.1,2,0.41364700102760804
reflected_direction_filtered,356,11.866666666666667,6.300000000000001,36.45,30.150000000000002,2,0.41747964345966626
reflected_direction_filtered,357,11.9,6.25,36.45,30.200000000000003,2,0.42270463318166884
