method,frame,time_s,s1_cm,s2_cm,distance_cm,n_peaks,row_std_px
raw_no_direction_filter,155,5.166666666666667,7.300000000000001,25.1,17.8,3,0.21683306992053986
raw_no_direction_filter,155,5.166666666666667,25.1,40.85,15.75,3,0.21683306992053986
raw_no_direction_filter,156,5.2,7.45,24.950000000000003,17.500000000000004,2,0.2799561321735382
raw_no_direction_filter,157,5.233333333333333,7.3500000000000005,25.0,17.65,2,0.20971398055553436
raw_no_direction_filter,160,5.333333333333333,15.05,29.6,14.55,2,0.19986450672149658
raw_no_direction_filter,161,5.366666666666666,15.05,29.5,14.45,2,0.22435930371284485
raw_no_direction_filter,167,5.566666666666666,14.950000000000001,34.2,19.25,2,0.2263690084218979
raw_no_direction_filter,171,5.7,7.25,25.3,18.05,2,0.17883983254432678
raw_no_direction_filter,172,5.733333333333333,7.2,35.35,28.150000000000002,2,0.2575526237487793
raw_no_direction_filter,173,5.766666666666667,15.0,35.300000000000004,20.300000000000004,2,0.290028840303421
raw_no_direction_filter,174,5.8,25.450000000000003,41.050000000000004,15.600000000000001,2,0.4305921792984009
raw_no_direction_filter,176,5.866666666666666,15.05,30.200000000000003,15.150000000000002,2,0.2825767993927002
raw_no_direction_filter,178,5.933333333333334,15.05,34.95,19.900000000000002,2,0.2343532145023346
raw_no_direction_filter,179,5.966666666666667,15.0,35.25,20.25,2,0.25703102350234985
raw_no_direction_filter,180,6.0,14.950000000000001,35.050000000000004,20.1,2,0.3678162097930908
raw_no_direction_filter,181,6.033333333333333,15.0,30.25,15.25,2,0.3744395971298218
raw_no_direction_filter,182,6.066666666666666,15.0,41.150000000000006,26.150000000000006,2,0.35885483026504517
raw_no_direction_filter,183,6.1,15.05,41.25,26.2,2,0.34366166591644287
raw_no_direction_filter,184,6.133333333333334,15.0,41.300000000000004,26.300000000000004,2,0.34076687693595886
raw_no_direction_filter,185,6.166666666666667,14.850000000000001,41.300000000000004,26.450000000000003,2,0.35712724924087524
raw_no_direction_filter,186,6.2,14.950000000000001,41.25,26.299999999999997,2,0.3586790859699249
raw_no_direction_filter,187,6.233333333333333,14.950000000000001,41.300000000000004,26.35,2,0.4003497064113617
raw_no_direction_filter,188,6.266666666666667,15.0,41.35,26.35,2,0.4155571162700653
raw_no_direction_filter,189,6.3,15.05,41.300000000000004,26.250000000000004,2,0.37359344959259033
raw_no_direction_filter,190,6.333333333333333,15.05,41.1,26.05,2,0.3613813519477844
raw_no_direction_filter,191,6.366666666666666,14.950000000000001,40.75,25.799999999999997,2,0.30711430311203003
raw_no_direction_filter,192,6.4,14.850000000000001,40.650000000000006,25.800000000000004,2,0.288697212934494
raw_no_direction_filter,193,6.433333333333334,14.9,40.800000000000004,25.900000000000006,2,0.24912557005882263
raw_no_direction_filter,194,6.466666666666667,15.0,41.1,26.1,2,0.3313438594341278
raw_no_direction_filter,195,6.5,24.650000000000002,41.300000000000004,16.650000000000002,2,0.35148322582244873
raw_no_direction_filter,196,6.533333333333333,24.650000000000002,41.300000000000004,16.650000000000002,2,0.28867822885513306
raw_no_direction_filter,201,6.7,7.4,25.25,17.85,2,0.252530962228775
raw_no_direction_filter,202,6.733333333333333,7.4,25.25,17.85,2,0.25127872824668884
raw_no_direction_filter,205,6.833333333333333,2.95,25.3,22.35,2,0.28610867261886597
raw_no_direction_filter,206,6.866666666666666,2.95,25.150000000000002,22.200000000000003,2,0.2678055167198181
raw_no_direction_filter,207,6.9,7.2,28.75,21.55,2,0.38282421231269836
raw_no_direction_filter,208,6.933333333333334,7.15,28.700000000000003,21.550000000000004,2,0.39549773931503296
raw_no_direction_filter,209,6.966666666666667,3.35,25.150000000000002,21.8,2,0.29412034153938293
raw_no_direction_filter,210,7.0,3.2,28.650000000000002,25.450000000000003,2,0.2777794599533081
