method,frame,time_s,lambda_cm,amp_std_px
reflected phase-gradient,320,10.666666666666666,28.064019912342374,0.5310807625221845
reflected phase-gradient,321,10.7,27.907959781437356,0.5402484358423757
reflected phase-gradient,322,10.733333333333333,27.75023347192884,0.5496966504670824
reflected phase-gradient,323,10.766666666666667,27.589342858420636,0.5592862948361401
reflected phase-gradient,324,10.8,27.44607215667011,0.5688492876809357
reflected phase-gradient,325,10.833333333333334,27.320560865650286,0.5781915648658488
reflected phase-gradient,326,10.866666666666667,27.211229337999736,0.587097666327086
reflected phase-gradient,327,10.9,27.106072436277444,0.5953368631560658
reflected phase-gradient,328,10.933333333333334,27.0243431563881,0.6026706652157471
reflected phase-gradient,329,10.966666666666667,26.970327583236447,0.6088614452321124
reflected phase-gradient,330,11.0,26.92549101736968,0.6136818160042706
reflected phase-gradient,331,11.033333333333333,26.90986127547584,0.6169243150288847
reflected phase-gradient,332,11.066666666666666,26.904878984390017,0.6184108966941413
reflected phase-gradient,333,11.1,26.91967321408011,0.618001714889424
reflected phase-gradient,334,11.133333333333333,26.962182915944716,0.6156027030449039
reflected phase-gradient,335,11.166666666666666,27.013353300546108,0.6111715243676302
reflected phase-gradient,336,11.2,27.081967133986634,0.6047215679792716
reflected phase-gradient,337,11.233333333333333,27.16745732817449,0.5963237982342161
reflected phase-gradient,338,11.266666666666667,27.265417246615428,0.586106412445049
reflected phase-gradient,339,11.3,27.379810612051774,0.5742524110309585
reflected phase-gradient,340,11.333333333333334,27.494930698572674,0.5609953154159779
reflected phase-gradient,341,11.366666666666667,27.621090371488457,0.5466133625518664
reflected phase-gradient,342,11.4,27.748217649346035,0.5314225401053859
reflected phase-gradient,343,11.433333333333334,27.86865545950143,0.5157687853894399
reflected phase-gradient,344,11.466666666666667,27.969840638966982,0.5000195448805842
reflected phase-gradient,345,11.5,28.03613441954176,0.48455468805489565
reflected phase-gradient,346,11.533333333333333,28.08243141890401,0.4697565270510732
reflected phase-gradient,347,11.566666666666666,28.10661210777136,0.45599849060535175
reflected phase-gradient,348,11.6,28.110652533106222,0.44363195692720225
reflected phase-gradient,349,11.633333333333333,28.09573519242478,0.4329710035777684
reflected phase-gradient,350,11.666666666666666,28.069339007154042,0.4242754736345334
reflected phase-gradient,351,11.7,28.036343531355175,0.41773372941241493
reflected phase-gradient,352,11.733333333333333,28.00795768707301,0.413447480360976
reflected phase-gradient,353,11.766666666666667,27.99302681856764,0.4114216476985102
