"1 _ 1",,,
"时间","载荷","行程","位移"
"sec","N","mm","mm"
"2.08","493.7968","0.6887583","0.6887583"
"2.09","495.498","0.6920834","0.6920834"
"2.1","497.1904","0.6954","0.6954"
"2.11","498.8748","0.6987417","0.6987417"
"2.12","500.5534","0.7020833","0.7020833"
"2.13","502.2276","0.7054334","0.7054334"
"2.14","503.8978","0.7087833","0.7087833"
"2.15","505.5646","0.712125","0.712125"
"2.16","507.2278","0.7154667","0.7154667"
"2.17","508.8856","0.7188084","0.7188084"
"2.18","510.5372","0.72215","0.72215"
"2.19","512.1834","0.7254834","0.7254834"
"2.2","513.8236","0.7288333","0.7288333"
"2.21","515.4574","0.7321666","0.7321666"
"2.22","517.085","0.7355","0.7355"
"2.23","518.7068","0.7388167","0.7388167"
"2.24","520.3235","0.74215","0.74215"
"2.25","521.9358","0.745475","0.745475"
"2.26","523.5444","0.7487917","0.7487917"
"2.27","525.1498","0.7521167","0.7521167"
"2.28","526.7522","0.75545","0.75545"
"2.29","528.3504","0.7587667","0.7587667"
"2.3","529.943","0.7620834","0.7620834"
"2.31","531.5276","0.765425","0.765425"
"2.32","533.104","0.768775","0.768775"
"2.33","534.673","0.7721083","0.7721083"
"2.34","536.236","0.7754583","0.7754583"
"2.35","537.7934","0.7788","0.7788"
"2.36","539.3454","0.782125","0.782125"
"2.37","540.892","0.7854583","0.7854583"
"2.38","542.4336","0.7888","0.7888"
"2.39","543.9706","0.7921333","0.7921333"
"2.4","545.504","0.7954667","0.7954667"
"2.41","547.035","0.7988","0.7988"
"2.42","548.5636","0.8021417","0.8021417"
"2.43","550.0896","0.8054667","0.8054667"
"2.44","551.6124","0.8088","0.8088"
"2.45","553.1294","0.8121334","0.8121334"
"2.46","554.6396","0.81545","0.81545"
"2.47","556.1424","0.8187667","0.8187667"
"2.48","557.6384","0.8220834","0.8220834"
"2.49","559.1268","0.8254083","0.8254083"
"2.5","560.6084","0.828725","0.828725"
"2.51","562.0834","0.8320584","0.8320584"
"2.52","563.553","0.8354","0.8354"
"2.53","565.017","0.8387583","0.8387583"
"2.54","566.4746","0.8421084","0.8421084"
"2.55","567.9268","0.84545","0.84545"
"2.56","569.3748","0.8487917","0.8487917"
"2.57","570.8202","0.8521417","0.8521417"
"2.58","572.2643","0.8554834","0.8554834"
"2.59","573.708","0.8588167","0.8588167"
"2.6","575.1496","0.8621584","0.8621584"
"2.61","576.5878","0.8655","0.8655"
"2.62","578.021","0.8688334","0.8688334"
"2.63","579.4486","0.8721583","0.8721583"
"2.64","580.8704","0.8755","0.8755"
"2.65","582.2858","0.8788167","0.8788167"
"2.66","583.6948","0.8821416","0.8821416"
"2.67","585.097","0.8854584","0.8854584"
"2.68","586.493","0.8887917","0.8887917"
"2.69","587.883","0.8921","0.8921"
"2.7","589.2678","0.8954334","0.8954334"
"2.71","590.6476","0.8987584","0.8987584"
"2.72","592.0236","0.9021","0.9021"
"2.73","593.3954","0.9054417","0.9054417"
"2.74","594.7632","0.9087833","0.9087833"
"2.75","596.126","0.9121333","0.9121333"
"2.76","597.4836","0.9154667","0.9154667"
"2.77","598.8364","0.9188167","0.9188167"
"2.78","600.1854","0.9221584","0.9221584"
"2.79","601.531","0.9254833","0.9254833"
"2.8","602.8734","0.9288083","0.9288083"
"2.81","604.213","0.9321417","0.9321417"
"2.82","605.5498","0.9354667","0.9354667"
"2.83","606.8824","0.9387833","0.9387833"
"2.84","608.2102","0.9421167","0.9421167"
"2.85","609.5326","0.9454417","0.9454417"
"2.86","610.848","0.9487584","0.9487584"
"2.87","612.1558","0.9520833","0.9520833"
"2.88","613.4544","0.9554167","0.9554167"
"2.89","614.7432","0.9587417","0.9587417"
"2.9","616.023","0.9620667","0.9620667"
"2.91","617.2946","0.9654","0.9654"
"2.92","618.5594","0.9687417","0.9687417"
"2.93","619.8196","0.9720833","0.9720833"
"2.94","621.077","0.9754333","0.9754333"
"2.95","622.333","0.978775","0.978775"
"2.96","623.5868","0.9821167","0.9821167"
"2.97","624.8374","0.985475","0.985475"
"2.98","626.0844","0.9888167","0.9888167"
"2.99","627.327","0.9921584","0.9921584"
"3","628.5648","0.9954833","0.9954833"
"3.01","629.797","0.9988334","0.9988334"
"3.02","631.023","1.002158","1.002158"
"3.03","632.2416","1.005483","1.005483"
"3.04","633.452","1.008817","1.008817"
"3.05","634.6534","1.012142","1.012142"
"3.06","635.8452","1.015467","1.015467"
"3.07","637.028","1.018792","1.018792"
"3.08","638.2038","1.022125","1.022125"
"3.09","639.374","1.025442","1.025442"
"3.1","640.5392","1.028758","1.028758"
"3.11","641.7004","1.0321","1.0321"
"3.12","642.8586","1.035442","1.035442"
"3.13","644.0148","1.038783","1.038783"
"3.14","645.1702","1.042133","1.042133"
"3.15","646.3242","1.045475","1.045475"
"3.16","647.4754","1.0488","1.0488"
"3.17","648.6216","1.052142","1.052142"
"3.18","649.7618","1.055467","1.055467"
"3.19","650.8964","1.0588","1.0588"
"3.2","652.0264","1.062142","1.062142"
"3.21","653.152","1.065475","1.065475"
"3.22","654.2726","1.068808","1.068808"
"3.23","655.3886","1.072125","1.072125"
"3.24","656.4994","1.075442","1.075442"
"3.25","657.6052","1.078767","1.078767"
"3.26","658.7064","1.082092","1.082092"
"3.27","659.803","1.085425","1.085425"
"3.28","660.8958","1.088758","1.088758"
"3.29","661.986","1.092067","1.092067"
"3.3","663.0748","1.095392","1.095392"
"3.31","664.1622","1.098725","1.098725"
"3.32","665.2474","1.102075","1.102075"
"3.33","666.329","1.105433","1.105433"
"3.34","667.4066","1.108792","1.108792"
"3.35","668.4796","1.112142","1.112142"
"3.36","669.5488","1.115483","1.115483"
"3.37","670.6156","1.118833","1.118833"
"3.38","671.6802","1.122175","1.122175"
"3.39","672.7426","1.125517","1.125517"
"3.4","673.8024","1.128858","1.128858"
"3.41","674.8602","1.132192","1.132192"
"3.42","675.9162","1.135517","1.135517"
"3.43","676.9706","1.138833","1.138833"
"3.44","678.0204","1.142158","1.142158"
"3.45","679.0642","1.145492","1.145492"
"3.46","680.1016","1.148808","1.148808"
"3.47","681.1336","1.152125","1.152125"
"3.48","682.1606","1.15545","1.15545"
"3.49","683.1828","1.158758","1.158758"
"3.5","684.2003","1.162083","1.162083"
"3.51","685.2128","1.165425","1.165425"
"3.52","686.22","1.168758","1.168758"
"3.53","687.222","1.1721","1.1721"
"3.54","688.2204","1.175458","1.175458"
"3.55","689.2152","1.178808","1.178808"
"3.56","690.2066","1.182133","1.182133"
"3.57","691.1952","1.185458","1.185458"
"3.58","692.1822","1.1888","1.1888"
"3.59","693.1686","1.192125","1.192125"
"3.6","694.1526","1.195467","1.195467"
"3.61","695.133","1.198808","1.198808"
"3.62","696.1096","1.202133","1.202133"
"3.63","697.084","1.205467","1.205467"
"3.64","698.058","1.208783","1.208783"
"3.65","699.032","1.212108","1.212108"
"3.66","700.0052","1.215425","1.215425"
"3.67","700.9772","1.218758","1.218758"
"3.68","701.9476","1.2221","1.2221"
"3.69","702.9164","1.225433","1.225433"
"3.7","703.8832","1.22875","1.22875"
"3.71","704.8488","1.232083","1.232083"
"3.72","705.8122","1.235433","1.235433"
"3.73","706.7722","1.238792","1.238792"
"3.74","707.7284","1.242133","1.242133"
"3.75","708.6806","1.245475","1.245475"
"3.76","709.6284","1.2488","1.2488"
"3.77","710.572","1.252142","1.252142"
"3.78","711.5128","1.255492","1.255492"
"3.79","712.452","1.258833","1.258833"
"3.8","713.3892","1.262167","1.262167"
"3.81","714.3238","1.265508","1.265508"
"3.82","715.2548","1.268842","1.268842"
"3.83","716.182","1.272158","1.272158"
"3.84","717.1054","1.275483","1.275483"
"3.85","718.0262","1.278817","1.278817"
"3.86","718.9444","1.282133","1.282133"
"3.87","719.8598","1.285458","1.285458"
"3.88","720.7712","1.2888","1.2888"
"3.89","721.677","1.292108","1.292108"
"3.9","722.575","1.295433","1.295433"
"3.91","723.4648","1.29875","1.29875"
"3.92","724.3468","1.3021","1.3021"
"3.93","725.222","1.305442","1.305442"
"3.94","726.0914","1.308792","1.308792"
"3.95","726.9556","1.312142","1.312142"
"3.96","727.816","1.315467","1.315467"
"3.97","728.6736","1.318808","1.318808"
"3.98","729.5291","1.322142","1.322142"
"3.99","730.383","1.325467","1.325467"
"4","731.2364","1.328808","1.328808"
"4.01","732.0896","1.33215","1.33215"
"4.02","732.942","1.335475","1.335475"
"4.03","733.793","1.338808","1.338808"
"4.04","734.6402","1.342125","1.342125"
"4.05","735.4822","1.34545","1.34545"
"4.06","736.3194","1.348767","1.348767"
"4.07","737.1516","1.352092","1.352092"
"4.08","737.9792","1.355433","1.355433"
"4.09","738.8026","1.35875","1.35875"
"4.1","739.623","1.362067","1.362067"
"4.11","740.4422","1.365408","1.365408"
"4.12","741.2618","1.36875","1.36875"
"4.13","742.0816","1.372108","1.372108"
"4.14","742.901","1.37545","1.37545"
"4.15","743.7188","1.3788","1.3788"
"4.16","744.5358","1.382142","1.382142"
"4.17","745.3532","1.385475","1.385475"
"4.18","746.1722","1.388817","1.388817"
"4.19","746.992","1.392158","1.392158"
"4.2","747.812","1.3955","1.3955"
"4.21","748.6308","1.398833","1.398833"
"4.22","749.448","1.402167","1.402167"
"4.23","750.2634","1.405492","1.405492"
"4.24","751.0764","1.408808","1.408808"
"4.25","751.8857","1.412142","1.412142"
"4.26","752.69","1.415458","1.415458"
"4.27","753.4879","1.418775","1.418775"
"4.28","754.279","1.422108","1.422108"
"4.29","755.0646","1.425433","1.425433"
"4.3","755.847","1.428758","1.428758"
"4.31","756.6278","1.4321","1.4321"
"4.32","757.408","1.435442","1.435442"
"4.33","758.1882","1.438783","1.438783"
"4.34","758.9688","1.442125","1.442125"
"4.35","759.749","1.445475","1.445475"
"4.36","760.527","1.448817","1.448817"
"4.37","761.3018","1.45215","1.45215"
"4.38","762.0728","1.455475","1.455475"
"4.39","762.8416","1.4588","1.4588"
"4.4","763.6078","1.462133","1.462133"
"4.41","764.3708","1.465475","1.465475"
"4.42","765.1314","1.468825","1.468825"
"4.43","765.8898","1.47215","1.47215"
"4.44","766.6478","1.475475","1.475475"
"4.45","767.406","1.478808","1.478808"
"4.46","768.1646","1.482117","1.482117"
"4.47","768.9234","1.485433","1.485433"
"4.48","769.6808","1.488767","1.488767"
"4.49","770.4368","1.492083","1.492083"
"4.5","771.191","1.495392","1.495392"
"4.51","771.943","1.498725","1.498725"
"4.52","772.6932","1.502067","1.502067"
"4.53","773.4432","1.505425","1.505425"
"4.54","774.1924","1.508775","1.508775"
"4.55","774.9396","1.512117","1.512117"
"4.56","775.6838","1.515467","1.515467"
"4.57","776.4244","1.518817","1.518817"
"4.58","777.1622","1.522158","1.522158"
"4.59","777.8994","1.525483","1.525483"
"4.6","778.637","1.528825","1.528825"
"4.61","779.3754","1.532167","1.532167"
"4.62","780.113","1.5355","1.5355"
"4.63","780.85","1.538825","1.538825"
"4.64","781.5869","1.542158","1.542158"
"4.65","782.3232","1.545492","1.545492"
"4.66","783.0584","1.548808","1.548808"
"4.67","783.791","1.552125","1.552125"
"4.68","784.5216","1.555458","1.555458"
"4.69","785.2502","1.558767","1.558767"
"4.7","785.9774","1.562083","1.562083"
"4.71","786.704","1.565417","1.565417"
"4.72","787.4294","1.568758","1.568758"
"4.73","788.153","1.5721","1.5721"
"4.74","788.8748","1.57545","1.57545"
"4.75","789.5948","1.5788","1.5788"
"4.76","790.313","1.58215","1.58215"
"4.77","791.0304","1.585492","1.585492"
"4.78","791.7468","1.588833","1.588833"
"4.79","792.4615","1.59215","1.59215"
"4.8","793.1758","1.595475","1.595475"
"4.81","793.8902","1.598808","1.598808"
"4.82","794.6038","1.602133","1.602133"
"4.83","795.316","1.605458","1.605458"
"4.84","796.0269","1.608792","1.608792"
"4.85","796.7368","1.612117","1.612117"
"4.86","797.4462","1.615425","1.615425"
"4.87","798.155","1.61875","1.61875"
"4.88","798.8632","1.622083","1.622083"
"4.89","799.571","1.625408","1.625408"
"4.9","800.2766","1.628733","1.628733"
"4.91","800.9782","1.632075","1.632075"
"4.92","801.6748","1.635417","1.635417"
"4.93","802.3662","1.638758","1.638758"
"4.94","803.0526","1.6421","1.6421"
"4.95","803.735","1.645458","1.645458"
"4.96","804.4132","1.6488","1.6488"
"4.97","805.088","1.65215","1.65215"
"4.98","805.7606","1.655492","1.655492"
"4.99","806.4328","1.658825","1.658825"
"5","807.1058","1.662158","1.662158"
"5.01","807.7796","1.6655","1.6655"
"5.02","808.4538","1.668833","1.668833"
"5.03","809.1278","1.672158","1.672158"
"5.04","809.8016","1.675492","1.675492"
"5.05","810.476","1.678817","1.678817"
"5.06","811.152","1.682133","1.682133"
"5.07","811.8284","1.68545","1.68545"
"5.08","812.5034","1.688783","1.688783"
"5.09","813.1766","1.692108","1.692108"
"5.1","813.8472","1.695442","1.695442"
"5.11","814.515","1.698775","1.698775"
"5.12","815.1802","1.702108","1.702108"
"5.13","815.8432","1.705458","1.705458"
"5.14","816.505","1.7088","1.7088"
"5.15","817.1662","1.712142","1.712142"
"5.16","817.827","1.715475","1.715475"
"5.17","818.4866","1.718817","1.718817"
"5.18","819.1438","1.72215","1.72215"
"5.19","819.7982","1.725475","1.725475"
"5.2","820.45","1.728808","1.728808"
"5.21","821.099","1.732133","1.732133"
"5.22","821.745","1.735467","1.735467"
"5.23","822.3886","1.738783","1.738783"
"5.24","823.0302","1.742108","1.742108"
"5.25","823.6707","1.745433","1.745433"
"5.26","824.3106","1.74875","1.74875"
"5.27","824.9496","1.752075","1.752075"
"5.28","825.5868","1.755408","1.755408"
"5.29","826.2216","1.758733","1.758733"
"5.3","826.8538","1.762067","1.762067"
"5.31","827.4832","1.7654","1.7654"
"5.32","828.1104","1.76875","1.76875"
"5.33","828.736","1.772108","1.772108"
"5.34","829.3602","1.775458","1.775458"
"5.35","829.9828","1.7788","1.7788"
"5.36","830.6062","1.782142","1.782142"
"5.37","831.2316","1.785492","1.785492"
"5.38","831.861","1.788842","1.788842"
"5.39","832.4936","1.792183","1.792183"
"5.4","833.1288","1.795525","1.795525"
"5.41","833.7658","1.79885","1.79885"
"5.42","834.403","1.802183","1.802183"
"5.43","835.0388","1.805508","1.805508"
"5.44","835.6718","1.808825","1.808825"
"5.45","836.3024","1.812158","1.812158"
"5.46","836.9304","1.815475","1.815475"
"5.47","837.5574","1.818792","1.818792"
"5.48","838.1842","1.822117","1.822117"
"5.49","838.8106","1.825433","1.825433"
"5.5","839.4355","1.828758","1.828758"
