"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"2.28","311.89","0.02951667","0.0045749","0.0045749","0.0182996","0.0182996"
"2.29","312.524","0.02968333","0.0045953","0.0045953","0.0183812","0.0183812"
"2.3","313.154","0.02985","0.0046147","0.0046147","0.0184588","0.0184588"
"2.31","313.781","0.03001667","0.0046339","0.0046339","0.0185356","0.0185356"
"2.32","314.4054","0.03018333","0.0046536","0.0046536","0.0186144","0.0186144"
"2.33","315.0294","0.03035","0.0046743","0.0046743","0.0186972","0.0186972"
"2.34","315.6536","0.03051667","0.0046959","0.0046959","0.0187836","0.0187836"
"2.35","316.2786","0.03068333","0.0047182","0.0047182","0.0188728","0.0188728"
"2.36","316.9036","0.03085","0.004741","0.004741","0.018964","0.018964"
"2.37","317.5272","0.03101667","0.0047642","0.0047642","0.0190568","0.0190568"
"2.38","318.1492","0.03118333","0.0047875","0.0047875","0.01915","0.01915"
"2.39","318.7694","0.03135","0.0048102","0.0048102","0.0192408","0.0192408"
"2.4","319.388","0.03151667","0.0048316","0.0048316","0.0193264","0.0193264"
"2.41","320.0052","0.03168333","0.0048524","0.0048524","0.0194096","0.0194096"
"2.42","320.621","0.03185","0.0048736","0.0048736","0.0194944","0.0194944"
"2.43","321.236","0.03201667","0.0048956","0.0048956","0.0195824","0.0195824"
"2.44","321.8502","0.03218333","0.0049186","0.0049186","0.0196744","0.0196744"
"2.45","322.4636","0.03235","0.004943","0.004943","0.019772","0.019772"
"2.46","323.076","0.03251667","0.0049691","0.0049691","0.0198764","0.0198764"
"2.47","323.6872","0.03268334","0.0049967","0.0049967","0.0199868","0.0199868"
"2.48","324.297","0.03285","0.0050249","0.0050249","0.0200996","0.0200996"
"2.49","324.9064","0.03301667","0.0050529","0.0050529","0.0202116","0.0202116"
"2.5","325.517","0.03318333","0.0050803","0.0050803","0.0203212","0.0203212"
"2.51","326.128","0.03335","0.0051065","0.0051065","0.020426","0.020426"
"2.52","326.7386","0.03351667","0.0051314","0.0051314","0.0205256","0.0205256"
"2.53","327.3476","0.03368333","0.0051549","0.0051549","0.0206196","0.0206196"
"2.54","327.9538","0.03385","0.0051765","0.0051765","0.020706","0.020706"
"2.55","328.5564","0.03401667","0.005196","0.005196","0.020784","0.020784"
"2.56","329.1556","0.03418333","0.0052139","0.0052139","0.0208556","0.0208556"
"2.57","329.7514","0.03435","0.0052306","0.0052306","0.0209224","0.0209224"
"2.58","330.3454","0.03451667","0.0052468","0.0052468","0.0209872","0.0209872"
"2.59","330.9388","0.03468334","0.0052629","0.0052629","0.0210516","0.0210516"
"2.6","331.5326","0.03485","0.0052789","0.0052789","0.0211156","0.0211156"
"2.61","332.1266","0.03501667","0.0052951","0.0052951","0.0211804","0.0211804"
"2.62","332.7196","0.03518333","0.0053113","0.0053113","0.0212452","0.0212452"
"2.63","333.3096","0.03535","0.0053283","0.0053283","0.0213132","0.0213132"
"2.64","333.8966","0.03551667","0.0053461","0.0053461","0.0213844","0.0213844"
"2.65","334.48","0.03568333","0.0053644","0.0053644","0.0214576","0.0214576"
"2.66","335.0604","0.03585","0.0053832","0.0053832","0.0215328","0.0215328"
"2.67","335.6382","0.03601667","0.0054026","0.0054026","0.0216104","0.0216104"
"2.68","336.2134","0.03618333","0.0054227","0.0054227","0.0216908","0.0216908"
"2.69","336.7856","0.03635","0.0054438","0.0054438","0.0217752","0.0217752"
