"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"0.93","578.5736","0.006958333","0.0004899","0.0004899","0.0019596","0.0019596"
"0.94","580.5252","0.007116667","0.0005132","0.0005132","0.0020528","0.0020528"
"0.95","582.5018","0.007266667","0.0005378","0.0005378","0.0021512","0.0021512"
"0.96","584.5022","0.007425","0.000563","0.000563","0.002252","0.002252"
"0.97","586.5254","0.007583334","0.0005888","0.0005888","0.0023552","0.0023552"
"0.98","588.571","0.00775","0.000615","0.000615","0.00246","0.00246"
"0.99","590.6396","0.007908333","0.0006417","0.0006417","0.0025668","0.0025668"
"1","592.7312","0.008075","0.0006694","0.0006694","0.0026776","0.0026776"
"1.01","594.8458","0.008241666","0.0006978","0.0006978","0.0027912","0.0027912"
"1.02","596.9848","0.008408333","0.0007269","0.0007269","0.0029076","0.0029076"
"1.03","599.1506","0.008575","0.0007564","0.0007564","0.0030256","0.0030256"
"1.04","601.3456","0.00875","0.0007861","0.0007861","0.0031444","0.0031444"
"1.05","603.5704","0.008916667","0.0008156","0.0008156","0.0032624","0.0032624"
"1.06","605.8254","0.009083333","0.0008443","0.0008443","0.0033772","0.0033772"
"1.07","608.1096","0.00925","0.0008722","0.0008722","0.0034888","0.0034888"
"1.08","610.4216","0.009416667","0.0008994","0.0008994","0.0035976","0.0035976"
"1.09","612.7576","0.009583334","0.0009259","0.0009259","0.0037036","0.0037036"
"1.1","615.1146","0.00975","0.0009518","0.0009518","0.0038072","0.0038072"
"1.11","617.4894","0.009916667","0.0009774","0.0009774","0.0039096","0.0039096"
"1.12","619.879","0.01009167","0.0010032","0.0010032","0.0040128","0.0040128"
"1.13","622.2812","0.01025","0.0010302","0.0010302","0.0041208","0.0041208"
"1.14","624.6934","0.01041667","0.0010588","0.0010588","0.0042352","0.0042352"
"1.15","627.1138","0.01058333","0.0010891","0.0010891","0.0043564","0.0043564"
"1.16","629.5418","0.01075833","0.0011209","0.0011209","0.0044836","0.0044836"
"1.17","631.9764","0.010925","0.0011534","0.0011534","0.0046136","0.0046136"
"1.18","634.4148","0.01109167","0.0011857","0.0011857","0.0047428","0.0047428"
"1.19","636.8552","0.01125","0.0012172","0.0012172","0.0048688","0.0048688"
"1.2","639.2958","0.01141667","0.0012473","0.0012473","0.0049892","0.0049892"
"1.21","641.7358","0.01159167","0.001276","0.001276","0.005104","0.005104"
"1.22","644.1746","0.01175","0.0013037","0.0013037","0.0052148","0.0052148"
"1.23","646.6124","0.01191667","0.0013311","0.0013311","0.0053244","0.0053244"
"1.24","649.0494","0.01208333","0.0013587","0.0013587","0.0054348","0.0054348"
"1.25","651.486","0.01225833","0.0013867","0.0013867","0.0055468","0.0055468"
"1.26","653.9228","0.012425","0.0014145","0.0014145","0.005658","0.005658"
"1.27","656.3608","0.01259167","0.0014414","0.0014414","0.0057656","0.0057656"
"1.28","658.8002","0.01275","0.001467","0.001467","0.005868","0.005868"
"1.29","661.2404","0.012925","0.0014921","0.0014921","0.0059684","0.0059684"
"1.3","663.6816","0.01309167","0.0015171","0.0015171","0.0060684","0.0060684"
"1.31","666.1226","0.01325833","0.0015422","0.0015422","0.0061688","0.0061688"
"1.32","668.562","0.013425","0.0015678","0.0015678","0.006271199","0.006271199"
"1.33","670.9996","0.01358333","0.0015942","0.0015942","0.0063768","0.0063768"
"1.34","673.4364","0.01375833","0.0016223","0.0016223","0.006489201","0.006489201"
"1.35","675.8734","0.013925","0.0016521","0.0016521","0.0066084","0.0066084"
"1.36","678.3112","0.01409167","0.0016829","0.0016829","0.006731601","0.006731601"
"1.37","680.7516","0.01425833","0.0017143","0.0017143","0.0068572","0.0068572"
"1.38","683.1954","0.014425","0.0017461","0.0017461","0.0069844","0.0069844"
"1.39","685.6426","0.01459167","0.0017784","0.0017784","0.007113601","0.007113601"
"1.4","688.0922","0.01475833","0.0018114","0.0018114","0.0072456","0.0072456"
"1.41","690.5436","0.014925","0.001845","0.001845","0.00738","0.00738"
"1.42","692.9964","0.01509167","0.0018789","0.0018789","0.0075156","0.0075156"
"1.43","695.4482","0.01525833","0.001912","0.001912","0.007648","0.007648"
"1.44","697.8978","0.015425","0.0019437","0.0019437","0.0077748","0.0077748"
"1.45","700.3448","0.0156","0.0019738","0.0019738","0.0078952","0.0078952"
"1.46","702.7896","0.01575833","0.0020027","0.0020027","0.0080108","0.0080108"
"1.47","705.2324","0.015925","0.0020314","0.0020314","0.0081256","0.0081256"
"1.48","707.6732","0.01609167","0.0020599","0.0020599","0.0082396","0.0082396"
"1.49","710.1116","0.01625833","0.0020888","0.0020888","0.0083552","0.0083552"
"1.5","712.5478","0.016425","0.0021186","0.0021186","0.0084744","0.0084744"
"1.51","714.9828","0.01659167","0.0021495","0.0021495","0.008598","0.008598"
"1.52","717.4162","0.01675833","0.0021815","0.0021815","0.008726","0.008726"
"1.53","719.8492","0.016925","0.0022141","0.0022141","0.0088564","0.0088564"
"1.54","722.283","0.0171","0.0022461","0.0022461","0.0089844","0.0089844"
"1.55","724.7178","0.01725833","0.0022769","0.0022769","0.0091076","0.0091076"
"1.56","727.1538","0.017425","0.0023064","0.0023064","0.0092256","0.0092256"
"1.57","729.5914","0.01759167","0.002335","0.002335","0.00934","0.00934"
"1.58","732.0304","0.01776667","0.0023625","0.0023625","0.00945","0.00945"
"1.59","734.4706","0.017925","0.0023881","0.0023881","0.0095524","0.0095524"
"1.6","736.9114","0.01809167","0.0024119","0.0024119","0.0096476","0.0096476"
"1.61","739.3538","0.01825833","0.0024344","0.0024344","0.0097376","0.0097376"
"1.62","741.7986","0.01843333","0.0024554","0.0024554","0.0098216","0.0098216"
"1.63","744.2466","0.0186","0.0024754","0.0024754","0.0099016","0.0099016"
"1.64","746.6984","0.01876667","0.0024951","0.0024951","0.0099804","0.0099804"
"1.65","749.153","0.018925","0.0025149","0.0025149","0.0100596","0.0100596"
"1.66","751.61","0.01909167","0.002535","0.002535","0.01014","0.01014"
"1.67","754.0703","0.01926667","0.0025559","0.0025559","0.0102236","0.0102236"
"1.68","756.535","0.01943333","0.0025785","0.0025785","0.010314","0.010314"
"1.69","759.0054","0.01959167","0.0026036","0.0026036","0.0104144","0.0104144"
"1.7","761.4822","0.01975833","0.0026312","0.0026312","0.0105248","0.0105248"
"1.71","763.9656","0.01993333","0.0026616","0.0026616","0.0106464","0.0106464"
"1.72","766.4542","0.0201","0.0026945","0.0026945","0.010778","0.010778"
"1.73","768.9466","0.02026667","0.0027296","0.0027296","0.0109184","0.0109184"
"1.74","771.4427","0.020425","0.0027666","0.0027666","0.0110664","0.0110664"
"1.75","773.9422","0.0206","0.0028052","0.0028052","0.0112208","0.0112208"
"1.76","776.4442","0.02076667","0.0028443","0.0028443","0.0113772","0.0113772"
"1.77","778.9486","0.02093333","0.0028831","0.0028831","0.0115324","0.0115324"
"1.78","781.455","0.0211","0.002921","0.002921","0.011684","0.011684"
"1.79","783.964","0.02126667","0.002957","0.002957","0.011828","0.011828"
"1.8","786.4762","0.02143333","0.0029908","0.0029908","0.0119632","0.0119632"
"1.81","788.9926","0.0216","0.0030228","0.0030228","0.0120912","0.0120912"
"1.82","791.5134","0.02176667","0.0030535","0.0030535","0.012214","0.012214"
"1.83","794.0372","0.021925","0.0030834","0.0030834","0.0123336","0.0123336"
"1.84","796.5634","0.0221","0.003113","0.003113","0.012452","0.012452"
"1.85","799.093","0.02226667","0.003143","0.003143","0.012572","0.012572"
"1.86","801.6248","0.022425","0.0031738","0.0031738","0.0126952","0.0126952"
"1.87","804.158","0.02259167","0.0032055","0.0032055","0.012822","0.012822"
"1.88","806.6922","0.02276667","0.0032385","0.0032385","0.012954","0.012954"
"1.89","809.2284","0.02293333","0.0032728","0.0032728","0.0130912","0.0130912"
"1.9","811.7694","0.0231","0.0033086","0.0033086","0.0132344","0.0132344"
"1.91","814.3186","0.02325833","0.0033455","0.0033455","0.013382","0.013382"
"1.92","816.8778","0.02343333","0.0033829","0.0033829","0.0135316","0.0135316"
"1.93","819.4472","0.0236","0.0034204","0.0034204","0.0136816","0.0136816"
"1.94","822.0264","0.02376667","0.0034572","0.0034572","0.0138288","0.0138288"
"1.95","824.6148","0.023925","0.0034926","0.0034926","0.0139704","0.0139704"
"1.96","827.2124","0.02409167","0.0035264","0.0035264","0.0141056","0.0141056"
"1.97","829.8184","0.02426667","0.0035584","0.0035584","0.0142336","0.0142336"
"1.98","832.4312","0.02443333","0.0035893","0.0035893","0.0143572","0.0143572"
"1.99","835.0502","0.0246","0.0036196","0.0036196","0.0144784","0.0144784"
"2","837.6758","0.02476667","0.0036496","0.0036496","0.0145984","0.0145984"
"2.01","840.3084","0.02493333","0.0036791","0.0036791","0.0147164","0.0147164"
"2.02","842.9474","0.0251","0.0037078","0.0037078","0.0148312","0.0148312"
"2.03","845.592","0.02525833","0.0037351","0.0037351","0.0149404","0.0149404"
"2.04","848.2414","0.02543333","0.0037612","0.0037612","0.0150448","0.0150448"
"2.05","850.8948","0.0256","0.0037872","0.0037872","0.0151488","0.0151488"
"2.06","853.552","0.02576667","0.0038146","0.0038146","0.0152584","0.0152584"
"2.07","856.2124","0.02593333","0.0038444","0.0038444","0.0153776","0.0153776"
"2.08","858.8752","0.0261","0.0038771","0.0038771","0.0155084","0.0155084"
"2.09","861.5398","0.02626667","0.003912","0.003912","0.015648","0.015648"
"2.1","864.2066","0.02643333","0.0039482","0.0039482","0.0157928","0.0157928"
"2.11","866.877","0.0266","0.0039852","0.0039852","0.0159408","0.0159408"
"2.12","869.5524","0.02676667","0.0040224","0.0040224","0.0160896","0.0160896"
"2.13","872.234","0.02693333","0.0040599","0.0040599","0.0162396","0.0162396"
"2.14","874.9222","0.0271","0.0040979","0.0040979","0.0163916","0.0163916"
"2.15","877.6172","0.02726667","0.0041365","0.0041365","0.016546","0.016546"
"2.16","880.319","0.02743333","0.0041755","0.0041755","0.016702","0.016702"
"2.17","883.0276","0.0276","0.0042142","0.0042142","0.0168568","0.0168568"
"2.18","885.7428","0.02776667","0.0042519","0.0042519","0.0170076","0.0170076"
"2.19","888.4646","0.02793333","0.0042883","0.0042883","0.0171532","0.0171532"
"2.2","891.1926","0.0281","0.004324","0.004324","0.017296","0.017296"
"2.21","893.9264","0.02826667","0.0043591","0.0043591","0.0174364","0.0174364"
"2.22","896.6648","0.02843333","0.004394","0.004394","0.017576","0.017576"
"2.23","899.4068","0.0286","0.0044293","0.0044293","0.0177172","0.0177172"
"2.24","902.152","0.02876667","0.0044653","0.0044653","0.0178612","0.0178612"
"2.25","904.8998","0.02893333","0.004502","0.004502","0.018008","0.018008"
"2.26","907.649","0.0291","0.0045393","0.0045393","0.0181572","0.0181572"
"2.27","910.3978","0.02926667","0.0045763","0.0045763","0.0183052","0.0183052"
"2.28","913.1444","0.02943333","0.0046123","0.0046123","0.0184492","0.0184492"
"2.29","915.8876","0.0296","0.0046466","0.0046466","0.0185864","0.0185864"
"2.3","918.6282","0.02976667","0.00468","0.00468","0.01872","0.01872"
"2.31","921.3682","0.02993333","0.0047127","0.0047127","0.0188508","0.0188508"
"2.32","924.1102","0.0301","0.0047455","0.0047455","0.018982","0.018982"
"2.33","926.8562","0.03026667","0.0047784","0.0047784","0.0191136","0.0191136"
"2.34","929.6066","0.03043333","0.0048118","0.0048118","0.0192472","0.0192472"
"2.35","932.3612","0.0306","0.0048461","0.0048461","0.0193844","0.0193844"
"2.36","935.12","0.03076667","0.0048812","0.0048812","0.0195248","0.0195248"
"2.37","937.8824","0.03093333","0.0049172","0.0049172","0.0196688","0.0196688"
"2.38","940.6474","0.0311","0.0049532","0.0049532","0.0198128","0.0198128"
"2.39","943.4132","0.03126667","0.0049889","0.0049889","0.0199556","0.0199556"
"2.4","946.179","0.03143333","0.0050241","0.0050241","0.0200964","0.0200964"
"2.41","948.9446","0.0316","0.0050592","0.0050592","0.0202368","0.0202368"
"2.42","951.709","0.03176667","0.0050944","0.0050944","0.0203776","0.0203776"
"2.43","954.4722","0.03193333","0.0051301","0.0051301","0.0205204","0.0205204"
"2.44","957.2348","0.0321","0.0051663","0.0051663","0.0206652","0.0206652"
"2.45","959.998","0.03226667","0.0052025","0.0052025","0.02081","0.02081"
"2.46","962.7634","0.03243333","0.0052386","0.0052386","0.0209544","0.0209544"
"2.47","965.5316","0.0326","0.0052747","0.0052747","0.0210988","0.0210988"
"2.48","968.302","0.03276667","0.005311","0.005311","0.021244","0.021244"
"2.49","971.0732","0.03293333","0.0053479","0.0053479","0.0213916","0.0213916"
"2.5","973.8438","0.0331","0.0053861","0.0053861","0.0215444","0.0215444"
"2.51","976.6134","0.03326667","0.0054257","0.0054257","0.0217028","0.0217028"
"2.52","979.381","0.03343333","0.0054663","0.0054663","0.0218652","0.0218652"
"2.53","982.1464","0.0336","0.005507","0.005507","0.022028","0.022028"
"2.54","984.9118","0.03376667","0.0055475","0.0055475","0.02219","0.02219"
"2.55","987.6798","0.03393333","0.0055873","0.0055873","0.0223492","0.0223492"
"2.56","990.452","0.0341","0.0056266","0.0056266","0.0225064","0.0225064"
"2.57","993.2286","0.03426667","0.0056655","0.0056655","0.022662","0.022662"
"2.58","996.0084","0.03443334","0.0057035","0.0057035","0.022814","0.022814"
"2.59","998.7892","0.0346","0.0057408","0.0057408","0.0229632","0.0229632"
"2.6","1001.57","0.034775","0.0057772","0.0057772","0.0231088","0.0231088"
"2.61","1004.352","0.03493333","0.0058128","0.0058128","0.0232512","0.0232512"
"2.62","1007.137","0.0351","0.0058482","0.0058482","0.0233928","0.0233928"
"2.63","1009.923","0.03526667","0.0058842","0.0058842","0.0235368","0.0235368"
"2.64","1012.711","0.03544167","0.005921","0.005921","0.023684","0.023684"
"2.65","1015.5","0.0356","0.005959","0.005959","0.023836","0.023836"
"2.66","1018.291","0.03576667","0.0059987","0.0059987","0.0239948","0.0239948"
"2.67","1021.084","0.03593333","0.0060399","0.0060399","0.0241596","0.0241596"
"2.68","1023.878","0.0361","0.0060819","0.0060819","0.0243276","0.0243276"
"2.69","1026.673","0.03626667","0.0061238","0.0061238","0.0244952","0.0244952"
"2.7","1029.469","0.03643334","0.0061646","0.0061646","0.0246584","0.0246584"
"2.71","1032.266","0.0366","0.0062036","0.0062036","0.0248144","0.0248144"
"2.72","1035.062","0.03676667","0.0062402","0.0062402","0.0249608","0.0249608"
"2.73","1037.859","0.03693333","0.0062746","0.0062746","0.0250984","0.0250984"
"2.74","1040.656","0.0371","0.0063073","0.0063073","0.0252292","0.0252292"
"2.75","1043.453","0.03726667","0.0063391","0.0063391","0.0253564","0.0253564"
"2.76","1046.252","0.03743333","0.0063708","0.0063708","0.0254832","0.0254832"
"2.77","1049.053","0.0376","0.006403","0.006403","0.025612","0.025612"
"2.78","1051.855","0.03776667","0.006436","0.006436","0.025744","0.025744"
"2.79","1054.657","0.03793333","0.0064696","0.0064696","0.0258784","0.0258784"
"2.8","1057.459","0.0381","0.0065034","0.0065034","0.0260136","0.0260136"
"2.81","1060.259","0.03826667","0.0065374","0.0065374","0.0261496","0.0261496"
"2.82","1063.059","0.03843333","0.0065715","0.0065715","0.026286","0.026286"
"2.83","1065.86","0.0386","0.0066061","0.0066061","0.0264244","0.0264244"
"2.84","1068.66","0.03876667","0.0066411","0.0066411","0.0265644","0.0265644"
"2.85","1071.46","0.03893333","0.0066759","0.0066759","0.0267036","0.0267036"
"2.86","1074.258","0.0391","0.0067101","0.0067101","0.0268404","0.0268404"
"2.87","1077.057","0.03926667","0.006744","0.006744","0.026976","0.026976"
"2.88","1079.857","0.03943333","0.0067782","0.0067782","0.0271128","0.0271128"
"2.89","1082.659","0.0396","0.0068134","0.0068134","0.0272536","0.0272536"
"2.9","1085.462","0.03976667","0.00685","0.00685","0.0274","0.0274"
"2.91","1088.264","0.03993334","0.0068877","0.0068877","0.0275508","0.0275508"
"2.92","1091.065","0.0401","0.0069257","0.0069257","0.0277028","0.0277028"
"2.93","1093.865","0.04026667","0.0069631","0.0069631","0.0278524","0.0278524"
"2.94","1096.662","0.04043333","0.0069999","0.0069999","0.0279996","0.0279996"
"2.95","1099.456","0.0406","0.0070362","0.0070362","0.0281448","0.0281448"
"2.96","1102.25","0.04076667","0.007073","0.007073","0.028292","0.028292"
"2.97","1105.045","0.04093333","0.0071105","0.0071105","0.028442","0.028442"
"2.98","1107.842","0.0411","0.007149","0.007149","0.028596","0.028596"
"2.99","1110.64","0.04126667","0.0071884","0.0071884","0.0287536","0.0287536"
"3","1113.441","0.04143333","0.0072289","0.0072289","0.0289156","0.0289156"
"3.01","1116.243","0.0416","0.0072698","0.0072698","0.0290792","0.0290792"
"3.02","1119.045","0.04176667","0.0073097","0.0073097","0.0292388","0.0292388"
"3.03","1121.845","0.04193334","0.0073477","0.0073477","0.0293908","0.0293908"
"3.04","1124.644","0.0421","0.0073842","0.0073842","0.0295368","0.0295368"
"3.05","1127.441","0.04226667","0.0074202","0.0074202","0.0296808","0.0296808"
"3.06","1130.235","0.04243333","0.0074573","0.0074573","0.0298292","0.0298292"
"3.07","1133.027","0.04260834","0.0074957","0.0074957","0.0299828","0.0299828"
"3.08","1135.819","0.04276667","0.0075353","0.0075353","0.0301412","0.0301412"
"3.09","1138.611","0.04293333","0.0075756","0.0075756","0.0303024","0.0303024"
"3.1","1141.405","0.0431","0.0076157","0.0076157","0.0304628","0.0304628"
