frame,time_s,x1,x2,d_px,y1,y2,prom1,prom2,n_peaks
315,10.5,180,689,509,314.0176899469004,331.0,24.98231005309958,7.990586713841765,2
320,10.666666666666666,312,702,390,323.1732391929571,331.0,15.826760807042888,7.904426658040677,2
325,10.833333333333334,328,715,387,323.0443895825423,331.0,16.338094953188147,7.909980725151058,2
330,11.0,349,734,385,323.2271738245641,331.0,11.377577616638519,7.621769512153605,3
335,11.166666666666666,363,749,386,323.03106246647246,331.0,16.508023600393358,7.589915207554782,2
340,11.333333333333334,381,770,389,323.0665210829158,331.0000334591626,15.933478917084187,7.797066395869706,2
345,11.5,399,788,389,323.1169763422795,331.0014088554434,15.8752309016445,7.55629463779286,3
350,11.666666666666666,416,795,379,323.1872073111118,332.0010966549274,15.812775959306919,6.527349801794173,3
355,11.833333333333334,432,797,365,323.14281279503774,331.66031348063854,15.857187204962258,6.921404667352817,2
360,12.0,451,815,364,323.12945159788376,331.64923303081173,15.870548402116242,3.3507669691882143,2
365,12.166666666666666,470,844,374,323.1473459592517,332.30940709992115,15.852654040748291,2.690592900078798,2
370,12.333333333333334,180,486,306,318.2267278367999,323.1015021042219,17.08674056066633,15.898497895778121,3
370,12.333333333333334,486,856,370,323.1015021042219,332.11826782844923,15.898497895778121,3.1737223106934493,3
375,12.5,180,504,324,316.7248339431324,323.10261695608466,17.923659487299858,15.89738304391534,2
385,12.833333333333334,179,540,361,314.83277230166294,323.12770616710105,16.167227698337058,15.872293832898947,2
390,13.0,124,553,429,327.0083393425854,323.36564240062245,6.906469902713752,15.634357599377552,2
395,13.166666666666666,134,568,434,327.0,323.84766929785116,5.999878346137905,15.152330702148845,2
400,13.333333333333334,149,597,448,327.0,324.1691622317151,7.999298051004303,14.83083776828488,2
405,13.5,164,610,446,327.0,323.3229380326161,7.996621147246572,15.677061967383906,2
410,13.666666666666666,188,625,437,327.0,323.10803220039435,9.953972493693186,15.891967799605652,2
415,13.833333333333334,207,641,434,327.0,323.4289689905349,10.0647980440001,16.188866483581194,2
420,14.0,181,654,473,311.1278193465132,325.294285306508,27.452099543719726,13.705714693491984,2
430,14.333333333333334,181,531,350,310.00606416084116,335.68453141221266,28.993935839158837,2.6438238189114145,3
450,15.0,362,763,401,323.1622130080854,327.08248140023386,16.46084453789632,11.91751859976614,2
455,15.166666666666666,381,782,401,323.1887974191595,327.32186943043837,15.811202580840472,11.632411713389047,2
460,15.333333333333334,399,800,401,323.15768475763593,328.52872502186074,15.842248324038906,10.46858848644564,3
465,15.5,416,817,401,323.3246231969746,328.52350192534317,16.54129794055507,10.461927429106709,3
470,15.666666666666666,180,433,253,318.28064301924155,323.361120297226,20.82988823603307,15.638879702773977,3
470,15.666666666666666,433,830,397,323.361120297226,328.43562361002205,15.638879702773977,10.49378151074859,3
475,15.833333333333334,180,450,270,315.94132754682965,323.4161162181917,23.058605534845185,15.829389802837056,3
475,15.833333333333334,450,858,408,323.4161162181917,327.0161612110842,15.829389802837056,11.661969358477506,3
480,16.0,180,489,309,315.7457584296876,316.44991729401244,22.613020843655818,22.550082705987563,3
480,16.0,489,872,383,316.44991729401244,327.09835198798856,22.550082705987563,7.901648012011378,3
485,16.166666666666668,486,878,392,323.42477958026836,327.08248140023386,16.56924356364857,7.915541019224463,2
490,16.333333333333332,180,504,324,315.08782249411576,323.60517363230275,20.952607432184493,15.394826367697249,3
490,16.333333333333332,504,885,381,323.60517363230275,327.5978005653525,15.394826367697249,8.098782212374147,3
495,16.5,180,524,344,313.5708075273588,323.699193547645,19.696539504197005,15.300806452355005,3
495,16.5,524,891,367,323.699193547645,330.6617021113687,15.300806452355005,3.8715648793412925,3
500,16.666666666666668,180,537,357,316.1311433092892,323.8616532020535,15.175358773572555,15.138346797946497,2
505,16.833333333333332,181,491,310,314.1302724071195,314.6749886555342,18.09539633862198,24.325011344465793,2
510,17.0,138,568,430,330.0,327.00365477700893,3.588011452322746,11.996345222991067,2
515,17.166666666666668,180,583,403,307.78574094887176,327.00852993619225,27.185857547737555,11.991470063807753,2
