frame,time_s,peak_count,peak_x_px,peak_prominence_px,spacing_px_all,spacing_cm_all,spacing_cm_valid,frame_mean_spacing_cm,frame_median_spacing_cm,surface_contrast_mean,valid_spacing_count
52,1.7931012345679012,0,,,,,,,,177.88276769713266,0
53,1.827583950617284,0,,,,,,,,177.87805534554212,0
54,1.8620666666666665,0,,,,,,,,177.87819605454752,0
55,1.8965493827160493,0,,,,,,,,177.87774277553766,0
56,1.931032098765432,0,,,,,,,,177.86798450100807,0
57,1.9655148148148147,0,,,,,,,,178.03159232190862,0
58,1.9999975308641975,0,,,,,,,,178.03310476870524,0
59,2.03448024691358,0,,,,,,,,178.03343693996416,0
60,2.0689629629629627,0,,,,,,,,178.0813861587142,0
61,2.1034456790123457,1,803,1.252,,,,,,178.11109956037188,0
62,2.1379283950617283,1,803,1.330,,,,,,178.1243601590502,0
63,2.172411111111111,0,,,,,,,,178.12466607862908,0
64,2.206893827160494,0,,,,,,,,178.36438172043015,0
65,2.2413765432098764,0,,,,,,,,178.2921832997312,0
66,2.275859259259259,0,,,,,,,,178.2917408714158,0
67,2.310341975308642,0,,,,,,,,178.29090501792118,0
68,2.3448246913580246,0,,,,,,,,178.28769986279124,0
69,2.379307407407407,0,,,,,,,,178.28274844590055,0
70,2.41379012345679,0,,,,,,,,178.28239037298388,0
71,2.448272839506173,0,,,,,,,,178.2817039790547,0
72,2.4827555555555554,0,,,,,,,,178.3252383652554,0
73,2.517238271604938,0,,,,,,,,178.20873690916218,0
74,2.551720987654321,0,,,,,,,,178.2087117075493,0
75,2.5862037037037036,1,802,1.210,,,,,,178.20196642585128,0
76,2.620686419753086,0,,,,,,,,178.20538614471332,0
77,2.655169135802469,1,477,1.344,,,,,,178.18513559867833,0
78,2.6896518518518517,1,818,1.207,,,,,,178.18471802195342,0
79,2.7241345679012343,1,817,1.221,,,,,,178.1824453265009,0
80,2.7586172839506173,0,,,,,,,,178.14291764672944,0
81,2.7931,0,,,,,,,,178.50291078629033,0
82,2.8275827160493825,0,,,,,,,,178.53024928595434,0
83,2.862065432098765,0,,,,,,,,178.69634856630827,0
84,2.896548148148148,0,,,,,,,,178.95222264224915,0
85,2.9310308641975307,0,,,,,,,,179.2755547855063,0
86,2.9655135802469132,0,,,,,,,,179.53501624103944,0
87,2.9999962962962963,0,,,,,,,,179.81104740703407,0
88,3.034479012345679,1,286,1.405,,,,,,180.03415308579753,0
89,3.0689617283950614,0,,,,,,,,180.0007017949149,0
90,3.1034444444444444,1,817,1.207,,,,,,180.10769454245076,0
91,3.137927160493827,1,112,1.656,,,,,,179.38839780745968,0
92,3.1724098765432096,0,,,,,,,,179.03106238799285,0
93,3.2068925925925926,2,56;309,1.286;1.557,253.0,7.969,7.969,7.968503937007874,7.968503937007874,178.65874180947583,1
94,3.241375308641975,2,315;764,1.367;1.719,449.0,14.142,14.142,14.141732283464567,14.141732283464567,178.2538026433692,1
95,3.275858024691358,1,809,1.269,,,,,,177.89482316868282,0
96,3.3103407407407404,1,305,1.511,,,,,,177.5734791526658,0
97,3.3448234567901234,0,,,,,,,,177.73050865255377,0
98,3.379306172839506,2,64;421,2.149;2.733,357.0,11.244,11.244,11.244094488188976,11.244094488188976,178.2178406418011,1
