frame,time_s,interval_index,spacing_cm,valid
130,4.482753086419753,1,12.566929133858268,True
130,4.482753086419753,2,6.299212598425197,True
130,4.482753086419753,3,9.637795275590552,True
131,4.517235802469136,1,11.937007874015748,True
131,4.517235802469136,2,6.393700787401575,True
131,4.517235802469136,3,8.031496062992126,True
132,4.551718518518518,1,8.503937007874017,True
132,4.551718518518518,2,8.094488188976378,True
132,4.551718518518518,3,11.401574803149606,True
132,4.551718518518518,4,6.6141732283464565,True
133,4.586201234567901,1,9.826771653543307,True
133,4.586201234567901,2,9.039370078740157,True
133,4.586201234567901,3,8.724409448818898,True
134,4.620683950617284,1,8.440944881889763,True
134,4.620683950617284,2,8.661417322834646,True
134,4.620683950617284,3,7.653543307086614,True
135,4.655166666666666,1,9.070866141732283,True
135,4.655166666666666,2,8.0,True
135,4.655166666666666,3,6.866141732283465,True
136,4.689649382716049,1,9.32283464566929,True
136,4.689649382716049,2,7.811023622047244,True
136,4.689649382716049,3,6.362204724409449,True
137,4.724132098765432,1,7.874015748031496,True
137,4.724132098765432,2,9.385826771653543,True
137,4.724132098765432,3,6.519685039370079,True
138,4.758614814814814,1,8.692913385826772,True
138,4.758614814814814,2,8.503937007874017,True
138,4.758614814814814,3,7.05511811023622,True
139,4.793097530864197,1,9.669291338582678,True
139,4.793097530864197,2,6.2047244094488185,True
139,4.793097530864197,3,10.866141732283465,True
140,4.82758024691358,1,6.488188976377953,True
140,4.82758024691358,2,12.094488188976378,True
140,4.82758024691358,3,8.346456692913385,True
141,4.862062962962963,1,8.818897637795276,True
141,4.862062962962963,2,10.771653543307087,True
141,4.862062962962963,3,6.330708661417323,True
142,4.896545679012346,1,9.228346456692913,True
142,4.896545679012346,2,9.763779527559056,True
142,4.896545679012346,3,9.291338582677165,True
143,4.931028395061728,1,9.637795275590552,True
143,4.931028395061728,2,8.31496062992126,True
143,4.931028395061728,3,10.393700787401574,True
144,4.965511111111111,1,9.10236220472441,True
144,4.965511111111111,2,6.897637795275591,True
144,4.965511111111111,3,11.37007874015748,True
145,4.999993827160494,1,8.850393700787402,True
145,4.999993827160494,2,11.118110236220472,True
145,4.999993827160494,3,6.708661417322834,True
146,5.034476543209876,1,11.21259842519685,True
146,5.034476543209876,2,5.984251968503937,True
146,5.034476543209876,3,8.818897637795276,True
147,5.068959259259259,1,9.228346456692913,True
147,5.068959259259259,2,8.503937007874017,True
147,5.068959259259259,3,16.22047244094488,False
148,5.103441975308642,1,8.724409448818898,True
148,5.103441975308642,2,9.763779527559056,True
148,5.103441975308642,3,10.551181102362206,True
149,5.137924691358024,1,9.070866141732283,True
149,5.137924691358024,2,9.826771653543307,True
149,5.137924691358024,3,9.448818897637794,True
150,5.172407407407407,1,6.677165354330708,True
150,5.172407407407407,2,9.858267716535433,True
150,5.172407407407407,3,8.15748031496063,True
151,5.20689012345679,1,6.393700787401575,True
151,5.20689012345679,2,10.330708661417322,True
151,5.20689012345679,3,7.275590551181103,True
152,5.241372839506172,1,9.32283464566929,True
152,5.241372839506172,2,6.299212598425197,True
