frame,time_s,source,peak_mode,distance_class,x1_cm,x2_cm,distance_cm
47,1.6206846237182617,raw_direct,broad,broad_17_5_32cm,2.6388890743255615,23.26388931274414,20.625
47,1.6206846237182617,raw_direct,local,broad_17_5_32cm,2.8125,22.84722328186035,20.03472328186035
47,1.6206846237182617,incident_component,broad,broad_17_5_32cm,2.0833334922790527,23.57638931274414,21.49305534362793
47,1.6206846237182617,incident_component,local,broad_17_5_32cm,2.0833334922790527,23.541667938232422,21.45833396911621
48,1.6551673412322998,raw_direct,broad,broad_17_5_32cm,3.2291667461395264,24.61805534362793,21.38888931274414
48,1.6551673412322998,raw_direct,local,broad_17_5_32cm,3.159722328186035,24.548612594604492,21.38888931274414
48,1.6551673412322998,incident_component,broad,broad_17_5_32cm,3.4375,24.75694465637207,21.31944465637207
48,1.6551673412322998,incident_component,local,broad_17_5_32cm,3.4375,24.6875,21.25
49,1.6896499395370483,incident_component,broad,broad_17_5_32cm,5.277778148651123,26.875,21.59722137451172
49,1.6896499395370483,incident_component,local,broad_17_5_32cm,5.3125,26.80555534362793,21.49305534362793
