frame,time_s,left_peak_x_px,right_peak_x_px,left_peak_x_cm,right_peak_x_cm,distance_cm,frame_quality_weight
38,1.3103448275862069,596,984,19.762444187540986,32.62792798748377,12.865483799942789,0.874568796157837
39,1.3448275862068966,238,819,7.891714289655628,27.156781526167897,19.26506723651227,0.8766924262046815
40,1.3793103448275863,228,817,7.560129655636484,27.09046459936407,19.530334943727585,0.8705671787261964
41,1.4137931034482758,280,709,9.284369752536033,23.50935055195731,14.22498079942128,0.9037765272158944
43,1.4827586206896552,595,1145,19.72928572413907,37.96644059519199,18.237154871052923,0.7838007436461606
44,1.5172413793103448,505,1157,16.745024017966774,38.36434215601496,21.61931813804819,0.8411909360339234
45,1.5517241379310345,605,1157,20.060870358158216,38.36434215601496,18.30347179785675,0.8643715143203735
46,1.5862068965517242,606,1158,20.09402882156013,38.39750061941688,18.30347179785675,0.8651065111160278
65,2.2413793103448274,294,1072,9.748588240162835,35.54587276685224,25.797284526689406,0.7850924290157469
66,2.2758620689655173,346,1074,11.472828337062383,35.61218969365607,24.139361356593685,0.7995864949868651
78,2.689655172413793,251,1098,8.322774313880515,36.407992815302016,28.0852185014215,0.4135129666428449
79,2.7241379310344827,317,1168,10.511232898406867,38.729085253436025,28.21785235502916,0.40854344385275126
80,2.7586206896551726,394,1180,13.064434580354275,39.126986814259,26.06255223390472,0.35450752425430615
92,3.1724137931034484,227,1033,7.526971192234569,34.252692694177576,26.72572150194301,0.8136795626320146
93,3.206896551724138,275,1073,9.118577435526461,35.57903123025415,26.460453794727695,0.5031313210912826
95,3.2758620689655173,356,902,11.804412971081527,29.90893398852679,18.104521017445265,0.0
97,3.3448275862068964,419,895,13.893396165402136,29.676824744713393,15.783428579311256,0.0
106,3.6551724137931036,169,907,5.603780314923534,30.074726305536363,24.47094599061283,0.43506778198957097
107,3.689655172413793,277,907,9.18489436233029,30.074726305536363,20.889831943206076,0.0
108,3.7241379310344827,377,902,12.50074070252173,29.90893398852679,17.408193286005062,0.0
109,3.7586206896551726,448,912,14.854991604057652,30.240518622545935,15.385527018488283,0.0
110,3.793103448275862,449,912,14.888150067459566,30.240518622545935,15.352368555086368,0.0
111,3.8275862068965516,448,958,14.854991604057652,31.765807939033998,16.910816334976346,0.0
117,4.0344827586206895,377,865,12.50074070252173,28.68207084265596,16.18133014013423,0.0
